,Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ushuaia,40,AR,1561502936,92,-54.81,-68.31,30.2,2.59
1,Saskylakh,49,RU,1561503156,36,71.97,114.09,78.19,12.44
2,Constitucion,90,MX,1561503156,24,23.99,-104.67,79.0,17.22
3,Nikolskoye,0,RU,1561503156,58,59.7,30.79,61.0,6.71
4,Kapaa,75,US,1561503156,78,22.08,-159.32,80.6,14.99
5,Sakaiminato,75,JP,1561503157,68,35.55,133.23,71.6,4.7
6,Rikitea,10,PF,1561502939,84,-23.12,-134.97,72.61,9.75
7,Puerto Ayora,20,EC,1561502926,69,-0.74,-90.35,77.0,20.8
8,Guerrero Negro,31,MX,1561502939,83,27.97,-114.04,63.79,13.87
9,Nyurba,0,RU,1561503157,59,63.29,118.35,70.81,4.27
10,New Norfolk,0,AU,1561503157,86,-42.78,147.06,39.99,8.05
11,Synya,100,RU,1561502940,74,65.37,58.04,44.35,5.48
12,Vaini,100,IN,1561503158,88,15.34,74.49,78.55,2.95
13,Busselton,0,AU,1561503158,85,-33.64,115.35,57.0,29.62
14,Svetlogorsk,20,RU,1561503158,71,53.14,59.15,51.8,4.29
15,Vestmannaeyjar,65,IS,1561502941,90,63.44,-20.27,52.45,15.75
16,Butaritari,100,KI,1561503158,71,3.07,172.79,84.31,9.69
17,Torbay,20,CA,1561503158,71,47.66,-52.73,60.01,4.7
18,Barrow,27,AR,1561503159,57,-38.31,-60.23,41.29,9.33
19,Provideniya,90,RU,1561503159,87,64.42,-173.23,46.4,15.66
20,Bacolod,74,PH,1561503159,76,10.68,122.95,84.13,11.48
21,Lata,72,IN,1561502942,92,30.78,78.62,38.23,0.65
22,Hermanus,81,ZA,1561502942,91,-34.42,19.24,57.99,5.99
23,Itarema,5,BR,1561503160,83,-2.92,-39.92,74.41,6.26
24,Vostok,99,RU,1561503160,78,46.45,135.83,69.37,6.85
25,Hobart,0,AU,1561502943,86,-42.88,147.33,43.0,8.05
26,Beringovskiy,100,RU,1561503160,94,63.05,179.32,42.19,16.08
27,Necochea,4,AR,1561503160,83,-38.55,-58.74,43.0,8.01
28,Hamilton,40,CA,1561502997,57,43.26,-79.87,78.01,14.99
29,Leua,0,AO,1561503161,47,-11.65,20.45,53.35,3.91
30,Carnarvon,0,ZA,1561503161,32,-30.97,22.13,46.87,14.0
31,Bluff,0,AU,1561503162,69,-23.58,149.07,65.59,19.82
32,Faanui,44,PF,1561503162,75,-16.48,-151.75,79.81,14.45
33,Jamestown,0,AU,1561503162,60,-33.21,138.6,55.15,13.31
34,Kitzbuhel,20,AT,1561502948,73,47.45,12.39,71.6,4.7
35,Mataura,35,NZ,1561503163,82,-46.19,168.86,44.01,5.99
36,Nantucket,20,US,1561502934,93,41.28,-70.1,69.01,13.87
37,Huarmey,62,PE,1561503163,86,-10.07,-78.15,63.07,19.73
38,Port Hawkesbury,1,CA,1561503163,58,45.62,-61.36,57.99,8.05
39,Luderitz,11,NA,1561503164,87,-26.65,15.16,51.8,13.87
40,Romitan,0,UZ,1561503164,36,39.93,64.38,75.2,4.7
41,Leningradskiy,85,RU,1561503164,89,69.38,178.42,34.45,15.52
42,Emba,0,CY,1561503164,83,34.81,32.42,78.8,5.82
43,Albany,75,US,1561503152,88,42.65,-73.75,84.2,4.7
44,Nichinan,75,JP,1561503165,100,31.65,131.31,71.6,3.36
45,Kargil,83,PK,1561503165,61,34.56,76.13,39.13,5.95
46,Hithadhoo,89,MV,1561503165,67,-0.6,73.08,84.31,4.29
47,Chuy,100,UY,1561503169,63,-33.69,-53.46,47.77,15.77
48,Chimbote,82,PE,1561502952,90,-9.08,-78.59,62.35,13.96
49,Port Alfred,70,ZA,1561502952,91,-33.59,26.89,59.0,8.01
50,Atuona,0,PF,1561502952,75,-9.8,-139.03,81.43,17.74
51,Fortuna,20,ES,1561503170,83,38.18,-1.13,75.2,3.36
52,Antofagasta,20,CL,1561502953,76,-23.65,-70.4,57.2,13.87
53,Kandi,74,BJ,1561503170,77,11.13,2.93,78.73,4.5
54,Bredasdorp,80,ZA,1561502953,72,-34.53,20.04,60.8,19.46
55,Lavrentiya,95,RU,1561502953,54,65.58,-170.99,50.11,9.89
56,Cabo San Lucas,5,MX,1561502977,24,22.89,-109.91,100.0,4.7
57,Holoby,1,UA,1561502954,92,51.09,25.02,60.01,0.83
58,Fairbanks,75,US,1561503010,35,64.84,-147.72,75.0,4.7
59,Clyde River,75,CA,1561503171,100,70.47,-68.59,33.8,8.05
60,Pevek,2,RU,1561502955,82,69.7,170.27,35.89,23.89
61,Owando,13,CG,1561503171,71,-0.49,15.91,74.23,4.07
62,Camacha,40,PT,1561502955,77,33.08,-16.33,68.0,9.17
63,San Patricio,100,PY,1561503172,83,-26.98,-56.83,47.77,9.01
64,Victoria,75,BN,1561503172,94,5.28,115.24,78.8,1.61
65,Taoudenni,0,ML,1561503175,7,22.68,-3.98,98.17,11.52
